time,f1,f2,pitch
0.332710,402.645451,2156.990271,220.068902
0.382710,808.346284,2340.412909,317.333322
0.432710,1151.197554,2196.585482,350.494479
0.482710,1433.038795,2304.343543,361.800084
0.532710,1365.243160,2370.862448,366.267834
0.582710,1604.149680,2274.325825,382.505710
0.832710,856.466067,2159.062802,335.214228
0.882710,1238.923976,2256.818570,355.104355
0.932710,1541.139301,2352.943802,362.226439
0.982710,1499.788301,2235.793111,363.866389
1.032710,1354.795968,2334.469943,368.275212
1.582710,1202.487394,2507.599257,347.204255
1.632710,1313.011291,2373.934674,341.732981
1.682710,1128.195225,2289.977197,335.941752
1.732710,1213.870958,2137.960291,313.657712
1.832710,821.846251,2450.647586,267.494726
1.882710,622.252344,2459.673929,257.280602
1.932710,731.605131,2433.308867,250.275839
1.982710,790.876291,2502.554728,253.354622
2.182710,630.208128,2187.956986,271.602015
2.282710,545.817240,2051.322287,256.317605
2.332710,550.798843,2302.853189,252.067916
2.632710,1122.881050,2383.790454,308.712092
2.682710,1280.999239,2725.820718,348.244737
2.782710,1262.401702,2337.921436,370.605143
2.832710,1400.880037,2476.896654,376.965749
2.882710,1462.724850,2212.228561,374.079016
2.932710,1315.026489,2517.686483,366.340087
2.982710,1860.695927,2897.094655,356.603965
3.032710,2140.984821,2444.210719,374.030303
3.082710,1595.620270,2568.621269,381.373471
3.132710,859.989168,2811.470617,382.550044
3.182710,965.834906,2668.590208,366.888740
3.232710,1257.605035,2743.026800,381.923555
3.282710,1753.861507,2622.238985,355.153687
3.332710,522.720435,2387.404068,347.836755
3.382710,417.969101,2378.554112,313.046920
3.432710,520.839057,2271.121269,302.522463
3.482710,1031.627308,2007.202814,299.389787
3.532710,1343.423239,1398.224354,301.521935
3.582710,1320.919401,1780.044287,306.020322
3.632710,1364.268844,2183.213284,153.183067
3.682710,1339.627051,2164.570956,154.458120
3.732710,1380.248797,2420.719126,154.013813
3.782710,1415.903052,2735.890819,154.744715
3.832710,1311.171772,1938.300511,157.334059
3.882710,1333.843447,1968.311831,159.368935
3.932710,1273.981762,1492.001830,315.473299
4.132710,1096.802904,1753.734245,266.241052
4.182710,1125.882610,1358.596136,255.162713
4.932710,374.767784,2638.383512,345.314960
4.982710,398.471997,2702.945705,382.604472
5.032710,400.041339,2819.328191,386.778410
5.082710,399.652024,2694.102226,389.348555
5.132710,402.301365,2805.342621,389.161823
5.382710,417.321522,2895.223687,441.939543
5.482710,276.023582,2611.499785,464.818987
5.532710,478.550091,3026.058298,461.578293
5.632710,515.802347,2827.752969,118.997020
5.682710,450.679264,2798.255286,351.119623
5.732710,409.640722,2680.765042,348.414593
5.782710,1631.517418,2131.877852,350.653094
5.832710,1507.427661,2482.704759,355.962167
5.882710,1553.855080,2541.276565,370.775803
5.932710,1364.128498,1822.546680,371.813916
6.382710,890.992051,1846.787863,310.966172
6.432710,1000.724291,1933.758111,303.217304
6.732710,564.487304,2612.522561,258.571229
