time,f1,f2,pitch
0.72,580.338354,2052.465546,171.741326
0.73,584.487193,1982.529350,173.064238
0.74,567.558206,1950.915700,169.460230
0.75,541.045573,2023.580987,167.942825
0.9,1170.204221,2424.547948,140.743210
0.92,1012.131871,1671.133386,139.305272
0.93,992.615195,1638.006394,139.448626
0.94,1051.631518,1815.913444,139.710619
0.95,1111.689226,1877.953401,139.734854
0.97,1118.544813,1635.498671,140.747571
14.02,292.697734,2434.887831,217.627213
14.03,344.220375,2342.735301,222.590517
14.04,214.026971,2315.555277,231.973874
14.17,467.522299,3618.436209,300.229303
14.2,1094.701248,3039.085532,301.627847
14.22,1103.382987,2901.382220,303.438382
14.23,1099.861693,2899.671556,302.700666
14.24,1071.006597,2843.347032,301.273228
14.25,1110.351421,2852.773373,294.368438
14.27,1132.703637,2821.223054,289.342626
14.28,1105.975159,2840.094797,282.844434
14.34,695.449803,2864.373231,247.678235
14.35,978.165518,2765.347375,284.676258
14.37,1143.100690,2820.869972,287.252243
14.38,1088.657201,2817.090491,288.989175
14.39,1014.055696,2729.665423,289.080703
14.4,1079.524635,2488.205356,289.612885
14.45,965.725101,1365.920477,293.897891
14.47,828.366853,1602.124755,291.789349
14.48,840.251324,1387.106958,290.261218
14.49,967.091243,1062.520624,289.535826
14.5,926.799294,1101.518905,290.378517
14.52,993.977330,994.203103,293.541378
14.53,430.020554,1038.158813,296.455420
14.6,877.381472,1653.907110,294.541021
14.62,842.506334,2115.930545,283.299497
14.63,798.122032,2323.910576,281.841456
14.64,815.210126,2072.386742,284.148092
14.65,943.081962,1415.379522,285.786474
14.67,664.661878,1427.631892,289.992396
14.68,997.421395,2493.224854,289.622838
14.69,851.352354,2821.500973,291.496815
14.7,822.396466,2774.169698,292.164801
14.74,202.045173,2673.719244,285.170860
14.78,253.131532,2812.603721,289.947393
14.79,577.526017,2675.490370,290.877358
14.8,239.058661,2538.429498,291.019427
14.83,232.257119,2767.660575,80.694292
14.84,322.949412,2785.057098,119.568701
14.85,381.548867,2737.848668,119.904691
14.87,386.625399,2707.145670,80.632608
14.88,373.447511,2710.749995,120.052671
14.89,335.966208,2570.220063,120.215537
14.9,556.137335,2375.060322,120.926527
14.92,844.090349,1865.330984,120.589355
14.93,1207.083234,1917.050847,292.425865
14.94,1127.920989,2061.846916,292.911860
14.95,892.800014,2334.861308,293.141463
15.45,989.975855,2630.586347,94.249122
15.47,1002.447443,2660.761354,284.954177
15.48,1053.759907,2496.347507,282.802031
15.49,1281.540613,1480.856714,282.088651
15.53,925.890833,1390.716586,289.543880
15.54,824.745525,1477.585254,290.704807
15.55,794.670763,1515.221348,292.538014
15.57,768.210933,1550.681883,295.526342
15.58,723.139400,1573.948377,296.022489
15.59,653.736195,1547.731109,295.507971
15.6,551.413670,1549.963454,294.429945
15.62,547.582063,1743.434545,292.086189
15.63,421.347402,2195.673797,291.593341
15.64,304.396279,2282.942449,291.500705
15.65,107.939817,2318.496109,291.414332
15.67,843.970488,1945.789472,289.867508
15.68,1252.537292,1484.740061,290.351962
15.69,896.925196,2103.479402,289.793942
15.7,822.665444,2404.815663,287.943964
15.72,774.954061,2488.187360,286.760814
15.73,754.017419,2566.262727,286.631747
15.74,737.533561,2637.685725,286.497631
15.75,703.401624,2644.370852,286.668128
15.77,675.237198,2646.132729,287.617186
15.78,698.238791,2566.322376,285.471722
15.79,747.701307,2478.067848,280.512139
15.8,970.403182,2453.224691,276.256111
15.82,1217.528295,2516.081701,288.352640
15.83,1284.485376,2521.166939,287.220857
15.84,1547.134594,2479.985462,292.663446
15.85,1544.955109,2468.734861,274.698619
15.87,1457.648933,2562.136989,299.299030
15.88,1524.525948,2481.358552,300.505144
15.89,916.198432,2210.182398,298.734967
15.92,832.025468,2611.084236,294.677526
15.93,628.908585,2754.284321,294.821793
15.98,643.406463,2569.917553,293.306794
15.99,1941.879751,2488.089402,291.295901
16,2099.913863,2486.299949,291.333700
16.09,129.837973,2723.977270,295.037469
16.1,390.963965,2724.871960,295.300202
16.12,378.768168,2656.154709,296.862713
16.13,272.214071,2605.194514,299.374866
16.14,270.743958,2701.191960,298.618304
16.18,284.027433,2468.764907,295.456010
16.27,163.497115,2618.859485,251.651327
16.29,200.830815,2922.007412,244.295521
16.3,222.714906,2742.316481,244.767459
16.32,198.476557,2735.472234,246.157986
16.33,243.179605,2808.307380,247.731297
16.34,189.184304,2838.741790,248.008813
16.99,105.888626,2974.309487,285.485363
17.14,1809.521704,2080.604454,298.564227
17.3,386.056271,1740.662943,277.732928
17.32,1046.491724,2161.936351,289.268992
17.33,914.134670,2407.764596,288.443065
17.34,920.125938,2554.346826,285.620578
17.35,1005.151678,2673.631322,281.980500
17.37,988.864068,2692.337363,275.810144
17.38,943.509128,2616.370503,275.412714
17.39,932.966779,2698.178536,275.985839
17.4,886.981992,2758.360557,280.246168
17.42,773.570180,2598.233691,292.125004
17.43,694.447892,2551.037780,298.020099
17.44,669.168786,2648.083484,300.139257
17.45,680.158369,2488.815885,300.682144
17.47,680.954050,2199.296671,293.572345
17.48,676.363426,2080.498360,286.222524
17.49,674.629208,2048.362922,281.259383
17.5,654.023484,1992.395661,279.788790
17.52,649.596662,1858.773186,280.989748
17.53,625.175307,1780.108270,283.138028
17.54,394.373221,1767.922822,285.713534
17.65,981.782127,2323.884221,285.916074
17.67,1124.061428,2382.652231,285.940607
