time,f1,f2,pitch
2.29,1032.083110,2168.084923,194.839277
2.3,959.201933,1890.569474,203.050325
2.35,974.033337,2159.845516,247.976989
2.36,993.016820,2047.591198,255.819474
2.38,954.817414,2061.289559,271.084112
2.39,957.401515,2154.647452,274.374577
2.4,996.957917,2137.462285,275.850674
2.41,1032.971935,2045.682366,278.295477
2.43,1083.699521,1996.358180,281.658106
2.44,1050.626001,1883.392973,282.760786
2.45,1063.220461,1960.071987,284.367457
2.46,1058.425095,1914.320007,286.795314
2.48,1027.121868,1899.514724,289.881445
2.49,1033.620394,1874.417547,291.370692
2.5,1043.782833,1864.044413,292.552492
2.51,1038.479646,1969.336701,294.860721
2.53,1047.951363,2155.792119,299.058367
2.54,1082.981932,2206.631701,301.150869
2.55,1046.093849,2213.547976,304.445832
2.56,1028.309118,2304.773400,308.066508
2.58,1039.761421,2320.441711,312.819048
2.59,1033.921079,2238.571099,315.817204
2.6,1039.571976,2256.452218,318.328187
2.61,1025.270572,2286.126203,321.268151
2.63,1025.578944,2193.366400,324.006546
2.64,1030.417784,2218.850691,324.127894
2.65,1038.441669,2242.754755,322.975302
2.66,1038.310013,2238.274868,320.957377
2.68,1044.573018,2203.752804,317.407454
2.69,1062.021584,2163.244019,317.272679
2.7,1050.705181,2089.076045,318.395773
2.71,1040.667799,2122.488364,318.609596
2.73,1073.115539,2111.088513,322.224682
2.74,1065.398773,2056.357669,326.530924
2.75,1064.744993,2054.090576,330.839474
2.76,1080.117189,2115.986799,335.157328
2.78,1102.545160,2262.557819,341.407901
2.79,1093.248250,2319.483807,341.288961
2.8,1087.811209,2186.965012,339.473566
2.81,1063.660741,2076.162862,336.104982
2.83,1025.305784,2127.379923,324.355818
2.84,1010.714364,2159.402900,321.816892
2.85,1016.697434,2146.102963,318.974124
2.86,1029.626019,2123.135560,318.627138
2.88,1029.240149,2219.037567,318.769196
2.89,1028.091957,2312.613506,321.023401
2.9,1095.809587,2105.814695,325.113830
2.91,1134.597754,2080.410080,329.771604
2.93,1080.352475,2143.553954,336.099012
2.94,1082.416243,2079.799257,341.114977
2.95,1071.613969,1966.467079,342.247691
2.96,1055.133870,1878.170731,342.535370
2.98,1039.135149,1894.931916,336.968191
2.99,1019.969941,1947.160732,334.033231
3,1013.313846,2058.999721,329.697093
3.01,1012.022540,2188.611870,326.621717
3.03,1016.996161,2203.793737,324.186751
3.04,1031.482644,2152.514077,324.487802
3.05,1076.087280,2166.549432,323.696177
3.06,1104.486021,2171.515222,322.572734
3.08,1076.013258,2084.741464,324.625999
3.09,1040.458793,1935.805632,326.277799
3.1,1035.807033,1892.326747,329.358031
3.11,1047.394799,1851.290208,335.370938
3.13,1124.974604,1837.301422,337.593264
3.14,1118.468967,1864.677470,334.908961
3.15,1122.698263,2052.395640,334.942999
3.16,1132.689692,2283.701029,333.412976
3.21,1098.934181,2151.559973,322.993484
3.23,1100.722296,1953.201990,321.755375
3.24,1153.481369,2000.880219,324.605734
3.25,1103.131273,2039.020974,328.466784
3.26,980.160241,2068.168544,332.983580
3.44,818.036272,2116.489732,340.351199
3.48,721.066072,1972.929537,330.537922
3.49,667.168253,2158.721016,318.633773
3.5,730.736140,2014.975114,317.606189
3.51,914.247508,1962.294424,329.197048
3.53,875.557393,2088.791473,330.314741
3.54,970.692563,2027.983287,325.109625
3.58,749.037553,1727.945926,258.503865
3.59,838.638697,2070.728971,265.969512
3.6,1033.005165,2154.776428,274.986940
3.61,1155.329694,1484.523839,279.032203
3.63,934.121983,1802.286929,281.281232
3.64,857.495295,1790.392443,281.117724
3.65,874.120848,1804.379712,280.657822
3.66,834.411110,1779.312572,279.830691
3.68,793.173068,1763.625215,278.229966
3.69,792.017355,1771.641272,277.307200
3.7,810.905030,1808.222079,276.249213
3.71,826.717094,1836.791990,274.744818
3.73,813.118182,1812.835280,273.414746
3.74,791.444452,1788.603494,273.170837
3.75,832.884652,1855.969894,273.615160
3.76,805.332599,1884.668900,273.387294
3.78,723.726926,1991.030106,278.478929
3.79,653.131943,2006.446701,281.062645
3.8,618.647650,1967.111044,283.800575
3.81,605.560953,1944.318862,286.368698
3.83,597.295140,1864.928251,286.820650
3.84,604.803859,2013.781983,285.662560
3.85,620.368917,1946.704050,283.824444
3.86,620.937576,1809.808258,280.723766
3.88,591.842122,1710.049747,274.887786
3.89,590.537326,1706.903604,273.517978
3.9,534.381779,1693.895531,271.993418
3.91,422.529497,1692.257197,270.849355
3.93,354.678983,1684.976892,271.547431
3.95,532.553533,1803.237119,275.786403
3.96,560.780006,1949.308100,277.075714
3.98,571.273027,1853.232513,283.576365
3.99,572.547831,1824.364209,286.764060
4,572.907585,1832.888240,291.367488
4.01,576.772777,1822.314355,293.262351
4.03,585.068148,1868.054594,290.740324
4.04,580.860711,1956.064099,286.160491
4.05,560.428596,1946.241947,281.863393
4.06,526.954631,1787.768267,277.150949
4.08,442.141459,1736.009173,269.340475
4.1,407.857070,1758.723757,267.967470
4.13,420.548437,2082.272791,273.307362
4.14,493.371989,2499.206283,277.424531
4.15,532.413107,2569.568650,279.981059
4.16,563.032980,2502.030621,284.557534
4.18,560.910334,2453.954605,289.803761
4.19,544.640908,2280.026050,290.190241
4.2,539.533537,2253.896948,289.895231
4.21,567.420436,2048.590883,287.359277
4.23,571.555704,1885.267008,280.316045
4.24,485.630902,1716.075119,277.234129
4.28,657.723334,1649.408539,273.694642
4.29,566.061261,2651.084550,275.303353
4.3,539.660831,2574.360162,276.320711
4.31,523.803357,2501.378250,277.968555
4.33,486.079486,2659.277215,285.688446
4.34,455.830235,2512.169238,289.555180
4.35,449.344538,2572.705988,289.495990
4.36,466.542628,2549.651694,289.745990
4.38,515.692834,2555.263193,287.326701
4.39,536.615292,2571.725047,283.681447
4.4,499.289226,2454.585625,279.926222
4.45,240.605428,2724.249533,274.055542
4.46,295.345870,2783.281333,276.267222
4.48,365.241680,2798.970095,283.535982
4.49,422.982808,2790.902779,284.860344
4.5,364.701186,2736.846061,282.896621
4.51,325.853859,2734.621113,282.249099
4.53,325.692459,2775.500908,279.712959
4.54,326.390397,2765.505705,280.977975
4.55,354.088336,2566.559198,279.524957
4.56,335.101045,2399.002410,277.268171
4.58,303.510107,2338.159252,271.850619
4.59,294.603395,2226.740771,271.065362
5.79,555.708906,2122.797381,258.334657
5.8,550.380693,2102.828725,241.523954
5.81,576.169119,2288.775404,235.254162
5.83,592.582781,2444.800496,243.248857
5.84,599.957956,2473.064747,245.372682
5.85,630.648598,2397.577508,245.877814
5.86,639.081500,2198.977914,244.326146
5.88,611.065896,2163.573874,240.997955
5.89,568.289022,2191.199252,240.897914
5.9,512.995196,2115.898931,243.495572
5.91,457.881309,2055.584939,244.525314
5.93,420.996865,2138.663961,240.099862
5.94,438.203439,2510.507719,237.702389
5.95,602.334731,2476.030958,243.159641
5.96,680.311924,2543.744253,242.314188
5.98,738.504838,3176.908956,243.985574
5.99,712.361751,3556.124386,244.055717
6.08,425.448496,2776.670568,224.224770
