time,f1,f2,pitch
6.17,1122.983306,2162.082269,80.077603
6.18,1112.090093,2109.551376,80.145762
6.23,1014.906984,2235.092072,98.967695
6.24,987.340504,2247.735367,98.688570
6.25,979.963353,2067.260016,77.318022
6.27,963.591466,1997.227873,96.143843
6.28,981.361240,1970.978901,85.951134
6.29,1040.989713,1176.135116,86.383749
6.3,924.455788,2481.663175,101.578156
6.32,841.656702,3080.180338,87.092769
6.34,681.756988,3045.674375,121.212213
6.35,672.831127,3003.228601,121.100924
6.37,621.328269,2993.033793,250.412104
6.38,591.392392,2874.915784,256.389324
6.39,635.144113,2883.447933,261.293600
6.43,711.834954,3048.916913,272.404045
6.44,868.572892,2447.577801,274.474939
6.45,980.679432,2472.098312,277.969157
6.47,1040.268238,2592.988034,276.927484
6.49,785.559142,3166.218466,262.320590
6.5,503.195309,3049.007891,257.167424
6.53,547.848749,4014.350001,249.068300
6.54,461.446590,3947.214704,244.707336
6.67,662.430009,2428.354089,283.473372
6.68,643.731021,2180.443988,284.277794
6.69,656.097714,2197.615345,283.506670
6.7,709.136554,2359.716806,281.503376
6.72,761.758276,2640.860971,277.460727
6.73,763.779701,2836.489318,276.455758
6.74,738.648467,2898.840436,276.317311
6.75,746.333762,2970.840011,276.835367
6.77,771.748888,3017.179220,275.857296
6.78,802.431806,2998.414929,274.585204
6.79,805.876727,2881.425046,272.864448
6.8,762.565553,2879.171331,271.883547
6.82,753.103505,2880.559370,271.229917
6.83,805.327876,2870.945223,271.814325
6.84,826.907823,2917.241024,272.538078
6.85,818.955168,3010.485537,273.574866
6.87,814.819753,3130.066015,275.539924
6.88,819.795231,3199.483547,276.636037
6.89,825.181150,3146.976559,278.305881
6.9,865.145564,3105.489660,279.556103
6.92,886.115456,3242.289937,279.950226
6.93,890.532179,3264.289882,279.325334
6.94,881.275783,3282.205324,278.795670
6.95,875.068203,3282.543498,278.606542
6.97,880.755494,3350.959523,279.020694
6.98,907.371453,3440.281496,279.477398
