time,f1,f2,pitch
7.24,470.261635,4237.019416,186.803377
7.25,503.162299,3423.551210,191.914310
7.26,516.241453,2919.077960,198.500877
7.28,540.535787,2784.721271,201.997985
7.29,569.233924,3092.040424,201.930094
7.3,633.616586,2946.368670,200.992490
7.31,737.060680,2452.279528,200.314207
7.33,927.597994,1843.450255,200.431429
7.34,915.273391,2100.562734,201.049723
7.35,1211.237032,1368.801868,205.778575
7.41,445.557303,1469.436302,219.738210
7.43,1015.747687,1428.259456,221.976113
7.44,1074.045181,1398.846169,221.803617
7.45,1062.207360,1378.334334,221.736657
7.46,1188.251580,1403.403451,221.271148
7.48,1137.575287,1589.067442,222.060311
7.49,979.516775,1920.414581,222.367567
7.5,888.589572,2102.431478,223.040248
7.51,887.946051,2104.184759,223.508797
7.53,929.505394,2096.186887,223.126470
7.54,966.251112,2029.248813,222.491932
7.55,1005.681504,2062.235477,221.028766
7.56,996.234314,2181.214879,220.114554
7.58,985.739968,2215.559017,218.640093
7.59,1042.618106,2119.161327,218.138281
7.6,1096.480528,1938.869547,217.813895
7.61,1076.104370,1890.781935,218.180209
7.63,1074.207202,1872.251961,217.731567
7.64,1040.065597,1911.821927,217.324394
7.65,1055.059794,1896.369597,216.732280
7.66,1108.604080,1764.279997,216.491596
7.68,1059.626793,1744.668738,210.837699
7.69,1276.734195,1367.935049,203.436603
7.7,1074.584458,1331.476318,200.113026
8.03,1235.989430,2355.159865,217.831090
8.05,1160.343782,1434.849992,218.247988
8.06,1238.672700,1348.326361,218.348551
8.18,1234.591109,2428.558354,220.297513
8.19,1123.713851,2390.694565,218.360184
8.2,1142.424761,2416.123195,219.285902
8.21,1111.769144,2525.168399,219.223076
8.23,1219.779219,2701.629110,217.633206
8.26,675.408080,2404.087544,160.047216
8.28,579.838042,2141.892957,155.105375
8.29,496.615704,2132.261848,145.303192
8.3,366.768402,1895.537534,144.697916
8.38,511.297114,1569.899430,224.667872
8.39,320.470630,999.114087,237.519845
8.46,1216.113714,2058.264881,261.634668
8.48,1174.950841,2197.233535,259.408013
8.49,1125.651473,2131.092084,261.064614
8.5,1222.137253,1902.031208,264.736202
8.51,1298.633424,1608.051882,269.420022
8.53,1331.295567,1408.212438,284.412503
8.54,1232.082437,1475.605556,292.240359
8.55,1216.874173,1469.902110,296.698893
8.56,1361.376102,1433.999352,298.240524
8.58,1367.825500,1430.576214,296.679505
8.59,1367.883407,1423.531567,293.672454
8.6,1385.554729,1393.008439,291.804027
8.61,1225.360201,1501.790708,291.787701
8.63,1192.195803,1499.471569,292.062698
8.64,1158.959238,1494.095527,292.294926
8.65,1115.059869,1503.423755,292.842189
8.66,1120.792920,1471.900433,293.461635
8.68,1104.370697,1400.023399,292.186877
8.69,1021.250625,1393.922795,290.228223
8.7,633.446705,1390.414792,286.118903
8.76,396.215529,1232.877770,260.746692
8.78,1234.370345,1391.149549,263.878328
8.79,1167.869565,1861.104269,264.779129
8.8,1094.806727,1765.105425,264.485316
