time,f1,f2,pitch
0.12,663.862225,1939.203871,97.529566
0.13,716.354079,2031.669080,97.419801
0.14,675.629199,1884.318019,98.095347
0.15,680.557521,1680.778687,98.173552
0.17,696.146333,1697.512118,97.929960
0.18,737.186232,1784.524871,98.245302
0.19,768.811516,1638.664091,97.755208
0.2,691.458010,1738.640414,98.558198
0.22,690.022088,1860.934199,97.716120
0.23,690.809904,1892.324095,98.378332
0.24,703.152290,1860.526971,97.940837
0.25,650.565945,1761.836301,98.247921
0.27,634.351772,1643.566011,97.402387
0.28,685.374513,1689.095955,98.385044
0.32,612.956149,1735.368778,97.648266
0.33,638.232642,1752.628911,98.109015
0.34,613.797022,1691.003749,98.588566
0.35,639.708829,1681.468868,97.047621
0.37,631.897963,1649.107195,98.036834
0.4,668.744352,1625.293690,97.834398
0.42,600.238066,1657.835728,98.507313
0.43,584.182305,1667.174135,97.422518
0.44,579.559901,1664.234367,98.316335
0.45,589.057066,1637.582817,97.957654
0.47,608.194319,1594.380538,98.554054
0.49,599.933501,1496.848410,97.895410
0.68,691.286038,1722.223347,283.672941
0.69,634.652149,1821.797755,292.241320
0.7,570.600345,1846.653170,298.677514
0.72,435.485328,1869.744007,296.556275
0.82,194.571813,2411.003487,291.426081
0.84,178.330597,2452.853546,285.887462
0.85,298.904272,2432.711471,279.036628
0.87,384.748379,2282.405785,241.390282
0.88,472.347307,2041.148022,98.814566
0.89,491.121902,1956.320419,97.939514
0.9,490.278591,2122.160320,96.895163
0.92,355.279606,1668.387527,97.659002
0.98,582.551647,1389.385290,296.937609
0.99,639.227509,1892.560790,295.802568
1,662.096512,1973.138720,294.733687
1.02,665.699960,1964.254217,293.386229
1.03,657.221923,1901.535858,291.390511
1.04,650.515010,1727.320238,288.845986
1.05,665.117779,1583.327235,286.274170
1.07,709.815972,1507.956333,287.218846
1.08,686.208483,1620.401903,288.053976
1.09,810.045415,1583.799113,287.732338
1.1,848.783925,1560.152773,286.161261
1.12,799.028558,1400.637082,283.934384
1.13,700.836019,1504.936608,282.928306
1.14,712.392974,1690.876371,282.641856
1.48,586.306420,1548.149380,98.313466
1.49,582.525918,1634.075540,97.510652
1.5,592.838021,1676.424977,97.861360
1.52,600.205386,1651.083115,97.867985
1.53,601.714586,1636.274978,97.692896
1.54,514.690098,1606.007514,98.774014
1.55,616.570930,1661.937735,97.107962
1.57,556.853752,1671.895249,97.934170
1.58,596.550222,1620.987416,97.598629
1.59,568.263890,1598.119725,98.965854
1.63,530.673533,1692.722242,97.429008
1.64,535.603538,1670.118689,99.118574
1.65,495.827328,1639.821765,98.315373
1.67,282.346078,1526.746161,98.380204
1.69,718.200762,2449.864192,192.220318
1.87,805.533100,2619.307952,277.626837
1.88,794.192731,2599.277883,283.866465
1.89,734.046419,2443.508193,285.092501
1.9,700.212375,2376.931731,285.777810
1.92,566.752421,2377.691931,285.788033
1.94,401.267612,2934.916731,286.621943
1.95,535.525366,2608.738259,288.584534
1.99,524.065014,2552.632074,293.508010
2,482.349555,2525.024262,293.306041
2.02,437.666493,2606.639589,290.264758
2.03,380.458338,2604.418107,277.857950
2.04,234.077482,2145.142538,271.793410
2.05,538.575274,2437.966102,260.661468
2.07,515.675171,2595.701774,292.303747
2.08,574.361646,2576.219144,294.176753
2.09,653.125849,2535.872587,292.685847
2.1,675.255136,2457.572141,291.363725
2.12,692.444856,2402.078396,288.823737
2.13,729.339741,2397.579947,288.179542
2.14,791.900225,2405.680426,288.245766
2.15,856.762692,2409.120122,287.694834
2.17,915.037504,2440.258924,287.348818
2.18,959.649833,2452.352794,286.928874
2.19,1026.971641,2489.045998,286.082887
2.2,1024.553110,2555.246112,284.871958
2.22,1014.586626,2543.171141,284.861030
2.23,1033.095891,2604.604209,286.072744
2.24,1030.386081,2525.417259,287.636630
2.25,1028.771965,2302.114352,288.347677
2.27,1032.023956,2262.183110,290.822284
2.28,1083.215123,2210.898581,291.049122
2.29,1137.716443,2206.721799,290.971601
2.3,1247.301081,2126.137713,290.717797
2.32,1597.692245,1615.361191,290.980158
2.33,1266.806546,1684.652886,290.929657
2.34,1269.471135,1707.071695,291.159848
2.35,1546.141629,1621.317226,290.708977
2.37,1272.013787,1938.879808,287.615291
2.38,1235.537279,1701.090786,286.912176
2.4,528.851823,1803.057052,277.875708
2.55,1149.449766,2483.645569,287.761253
2.57,1136.937876,2428.951259,288.761721
2.58,1141.280325,2321.559624,289.477307
2.59,1107.912455,2168.362992,289.287491
2.6,1058.563918,2087.477368,288.989750
2.62,1054.570213,2085.986281,289.156459
2.63,1066.822515,2146.388288,289.302530
2.64,1068.130615,2191.768802,289.614739
2.65,1096.174454,2189.805898,289.695311
2.67,1118.466056,2125.728489,288.692282
2.68,1075.908344,2085.351395,288.150600
2.69,977.031960,2130.509965,287.821985
2.7,808.700430,2227.210967,287.197131
2.72,724.922813,2406.887668,287.231105
2.73,738.334614,2439.386811,281.887488
2.75,532.826302,1668.602429,243.287372
2.88,602.956054,2723.458306,238.020240
2.89,420.709644,2707.160243,236.192193
2.9,339.621792,2668.542417,226.704800
3.13,704.706853,2686.683177,262.285472
3.14,685.690220,2643.293142,267.888180
3.15,672.862436,2617.969091,270.910285
3.17,679.308740,2512.517779,276.971184
3.18,701.296421,2504.760831,280.698174
3.19,718.911925,2519.601380,281.779820
3.2,776.361579,2516.141124,282.710537
3.22,907.012904,2551.656310,283.437070
3.25,1089.938372,3561.087440,286.833442
3.27,1135.516422,3506.871440,288.416902
3.28,1145.582439,2798.469227,288.509944
3.29,1142.358764,2673.990223,288.853307
3.3,1139.330991,2821.365437,289.326766
3.32,1153.305616,2860.137135,291.197120
3.33,1164.818289,2821.720448,291.798616
3.34,1149.118869,2878.954945,291.813258
3.35,1124.186207,2928.720788,291.649544
3.37,1117.489062,2940.062670,290.501888
3.38,1123.575611,3039.229825,289.618403
3.39,1119.943725,3052.190461,289.143106
3.4,1117.700757,3091.997644,288.883294
3.42,1105.512675,3481.613364,287.237601
3.43,1048.718639,3451.492857,282.454533
3.54,1259.305343,3454.192412,287.104348
3.57,1361.266788,2747.922258,287.253016
3.58,1392.388604,2024.246483,287.068897
3.59,1429.805866,1569.585305,286.218934
3.6,1456.051302,1482.788759,287.096860
3.62,1332.417753,1533.917285,285.976739
4.07,824.359390,2136.420808,258.345142
4.08,739.253698,2154.455899,258.394177
4.09,384.690122,2190.659023,258.340752
4.1,127.582064,2237.281390,259.406713
4.12,394.235636,2246.709598,260.862498
4.13,431.394188,2253.726923,260.298483
4.14,516.928976,2305.573161,259.407651
4.15,700.848989,2335.338039,260.593829
4.17,788.145443,2335.545860,259.603970
4.18,799.588162,2290.139192,260.627283
4.19,959.099721,2301.713293,260.088626
4.2,974.911477,2322.578685,260.009453
4.22,969.440305,2314.907423,260.336987
4.23,1028.801782,2343.804536,260.616685
4.24,997.553838,2337.893913,260.565526
4.25,1011.237615,2360.386817,260.455613
4.27,1058.299603,2361.575669,259.767735
4.28,1144.109700,2429.039719,259.173103
4.29,1192.081539,2794.514166,254.314489
4.3,1163.040915,2437.216101,252.976161
4.53,712.051247,1587.186876,256.033878
4.54,856.001389,2166.059355,259.628310
4.55,722.441577,2133.796236,260.945700
4.57,848.571277,2038.021359,261.332650
4.58,865.633644,2059.096161,261.059869
4.59,453.294475,2019.748830,259.396064
4.6,763.259543,2117.457892,259.312957
4.62,823.736484,2234.147774,259.843637
4.63,750.487560,2262.443756,259.691865
4.64,797.426710,2332.241093,259.074079
4.65,782.736993,2326.700781,259.901170
4.67,679.081906,2186.032431,259.267062
4.68,787.322901,2144.422526,261.402209
4.69,791.134933,2366.721781,263.429500
4.7,693.808530,2500.817116,263.394481
4.72,864.712829,2583.367734,262.270906
4.73,851.476297,2639.865891,262.135877
4.74,836.899951,2852.079549,262.953312
4.75,800.670542,2906.101514,262.852244
4.77,764.553121,2933.096828,262.917833
4.78,787.156427,2982.832617,261.868509
4.79,784.846206,3154.996090,261.637821
4.8,811.936697,3680.919326,259.890745
4.82,910.784316,3723.120752,259.831362
4.83,987.550532,3198.153370,259.321860
4.84,1103.523793,3222.458029,261.263021
4.85,1030.989954,3031.498639,261.399831
4.87,1014.547163,2950.892054,260.775825
4.88,1101.299842,2655.167837,260.378361
4.89,1215.320420,2399.578227,261.028918
4.9,1632.523841,1899.528960,260.730458
4.92,1691.681199,1792.474396,260.182102
4.93,1470.904311,2707.114967,260.272465
4.94,1307.562853,2661.848331,260.139370
4.95,1222.207452,2785.404432,259.763475
4.97,1130.465244,2850.767689,260.048273
4.98,1049.826919,2888.519478,259.703195
4.99,1063.448125,2908.168842,260.056926
5,1075.700932,2941.081410,261.114063
5.02,1162.745577,3277.574015,260.753694
5.03,1263.169153,3410.865799,260.281405
5.09,1337.361024,3390.840644,260.845967
5.1,1405.148979,3504.933662,261.600061
5.14,1797.654735,2651.676145,260.387124
5.37,436.481854,2777.468952,260.257679
5.38,893.217136,2762.690212,260.504248
5.39,1159.452349,2601.094122,259.140247
5.4,1278.913644,2389.899722,257.667073
5.42,1537.619530,2219.890867,259.420167
5.43,1294.662807,2476.481424,259.858026
5.44,1142.926926,2691.375275,260.541299
5.45,1168.686586,2700.042423,260.939088
5.47,1195.603455,2796.294272,261.097502
5.48,1202.356774,3133.527836,260.999960
5.49,1211.656221,3249.077245,260.780990
5.5,1208.980280,2870.220765,260.603725
5.52,1269.424265,2740.851892,260.249748
5.68,929.290570,1847.913426,78.424761
5.69,1182.618594,1197.516295,78.273943
5.7,1086.968803,1789.153597,78.164059
5.72,536.393466,1302.736470,78.440333
5.79,1130.123666,1528.371683,77.856842
5.85,1004.563438,1571.192262,77.869173
5.87,1052.880726,1772.730090,77.896445
5.88,1164.961955,1437.900820,77.774035
5.9,830.773693,1534.932161,78.097520
5.92,535.218716,1429.330096,77.556837
6.12,655.265200,2977.240005,223.107759
6.13,599.278503,2882.661041,223.320561
6.14,565.108193,2825.360745,224.050558
6.15,502.054847,2768.355022,225.403438
6.17,479.177503,2671.763388,224.366938
6.18,453.232877,2514.984596,224.120074
6.19,548.029982,2416.120482,221.449659
6.2,584.025503,2105.610777,208.879139
6.23,178.140656,1390.532261,205.680127
6.24,390.841087,1534.640758,203.703053
6.4,672.759615,2178.723793,218.699242
6.43,492.293301,2774.408408,225.621700
6.44,428.102774,2741.807264,228.606164
6.45,87.385788,2655.460514,229.633410
6.47,296.136362,3142.053862,231.911866
6.69,296.737138,2648.143965,87.327518
6.7,476.543518,2634.215858,86.261927
6.92,512.536117,2725.044949,236.536872
6.93,580.442770,2830.711967,248.879867
6.94,658.997486,3027.632963,253.778692
6.95,845.372412,3366.840504,248.838385
6.98,1036.693630,1957.119818,258.525262
6.99,1007.057166,2332.088531,260.737025
7,1066.359405,2112.095826,262.018435
7.02,1088.513726,2012.531737,262.131733
7.03,1098.864341,2013.129769,261.836677
7.04,1135.407157,2040.311182,260.978215
7.05,1159.409708,2041.499819,260.578911
7.07,1160.600220,1802.150399,259.725830
7.08,1194.971751,1701.739254,259.849853
7.09,1192.763624,1590.326077,259.486287
7.1,915.096787,1188.803011,257.645346
7.12,586.343847,1162.850315,252.388431
7.15,990.284642,1697.986164,246.477744
7.17,943.785292,1884.842360,239.264030
7.18,903.418333,1956.309846,238.318588
7.19,827.167233,2086.770607,235.173040
7.2,802.314931,2058.446688,234.531783
7.5,1083.814914,3338.403824,86.973676
7.98,688.028774,3000.386679,191.880613
7.99,567.710121,3036.103808,212.367874
8,539.580418,2894.435886,232.081449
8.24,305.266699,2777.054907,260.091105
8.25,460.665798,2813.168756,258.445558
8.27,476.811352,2857.118528,257.057246
8.28,398.971526,2815.888996,253.950977
8.29,214.290747,2666.101429,228.695204
8.3,155.414547,2479.531464,221.400217
8.52,464.477351,2835.840669,251.860300
8.53,599.479718,2866.796182,259.034936
8.54,638.319267,2870.128772,261.566494
8.55,730.055603,2988.964996,260.574778
8.57,881.120137,3030.975926,260.179427
8.58,918.346671,2868.621839,260.234604
8.59,886.184753,2761.132987,259.862448
8.6,869.094543,2768.992201,259.530142
8.62,875.499231,2728.926192,258.202390
8.63,895.045542,2650.334898,257.561980
8.64,914.088464,2592.808453,256.836455
8.65,932.573397,2568.977634,256.575191
8.67,959.791399,2494.784092,255.337060
8.68,990.130111,2492.732347,255.819665
8.69,1016.271281,2537.750879,256.061099
8.7,1017.111022,2597.333219,256.411901
8.72,1002.847821,2635.991849,258.524489
8.73,998.145502,2681.421624,259.511284
8.74,1027.298880,2684.661279,260.093305
8.75,1056.411818,2686.568863,259.551389
8.77,1067.221162,2659.599237,258.450125
8.78,1067.822685,2623.507176,259.127552
8.79,1078.517439,2618.762980,258.983167
8.8,1117.088519,2608.028311,257.582961
8.82,1152.357304,2659.216587,247.368002
8.83,1103.807922,2732.144500,249.367719
8.97,1118.387927,2834.247953,274.284209
8.98,1109.072473,2715.472168,278.005662
8.99,1092.243909,2676.499914,279.929782
9,1064.800839,2721.772500,281.071495
9.02,1050.024892,2772.264089,282.157042
9.03,1031.908023,2780.534514,283.141354
9.04,1018.442034,2789.056688,284.334040
9.05,1024.245011,2705.594766,285.841724
9.07,1033.234596,2503.623212,286.324072
9.08,1066.473634,2485.020819,284.295010
9.09,1131.012495,2285.803497,279.700828
9.1,1141.332517,2070.698075,272.039956
9.12,1092.478859,1957.026257,272.138604
9.13,1067.483791,2025.207186,279.395685
9.14,1060.141431,2065.886494,287.382504
9.15,1050.374606,2100.299179,295.629488
9.17,1022.490060,2181.036615,308.444081
9.18,1010.762962,2223.161701,311.604863
9.19,1006.846299,2209.809387,313.817769
9.2,1008.644242,2139.642219,313.744391
9.22,1003.648742,2075.626566,311.044606
9.23,1004.681466,2011.326321,309.041057
9.24,1008.619806,1982.432060,307.031729
9.25,1030.084712,1942.342645,306.189333
9.27,1063.450415,1917.940561,306.249685
9.28,1071.561970,1922.153531,307.757020
9.29,1053.683203,1934.627881,309.396477
9.3,1032.308461,1971.572749,310.476422
9.32,1018.485779,1964.229371,309.978998
9.33,1010.578159,1965.699272,309.353765
9.34,1020.119167,1955.558552,308.096692
9.35,1063.502686,1963.653859,305.702081
9.37,1141.741679,1876.980380,295.374306
9.38,1217.342696,1878.425990,290.225458
9.39,1252.650339,1963.771145,288.061813
9.4,1234.649032,1889.422562,288.378642
9.42,1204.796030,1873.692225,290.003340
9.43,1215.556784,1885.507188,291.073103
9.44,1213.525332,1784.731741,291.672935
9.45,1197.767421,1763.295800,292.373602
9.47,1163.053656,1810.333864,292.443953
9.48,1148.381862,1845.380291,291.160807
9.49,1148.070160,1842.801042,290.053404
9.5,1146.567797,1811.976871,289.596895
9.52,1152.859641,1819.932921,291.027490
9.53,1159.290629,1809.565023,292.885803
9.54,1172.893955,1758.485873,295.727197
9.55,1175.630457,1707.384420,300.082519
9.57,1187.261905,1755.947998,305.888173
9.58,1201.478558,1831.054305,307.524599
9.59,1202.702836,1789.884533,306.241861
9.6,1202.714185,1788.385593,302.942892
9.62,1194.618409,1880.550999,295.099354
9.63,1190.684678,1984.130261,291.075271
9.64,1184.262733,2018.226138,287.041519
9.65,1167.267608,2092.015097,286.027885
9.67,1175.873243,2143.128567,286.672539
9.68,1180.527952,2100.963243,289.283567
9.69,1166.767573,2086.896929,290.768767
9.7,1174.416371,2127.827918,293.179719
9.72,1197.856496,2046.751716,301.683991
9.73,1208.448132,1986.198084,303.226961
9.74,1208.081715,1906.665145,304.608870
9.75,1211.797717,1890.507538,305.328512
9.77,1205.595419,1959.599552,301.232872
9.78,1200.647151,1994.843378,299.460796
9.79,1192.094948,2082.161133,296.601006
9.8,1175.040294,2135.674852,293.327952
9.82,1163.947260,2155.091410,288.793483
9.83,1164.990292,2116.820271,287.745270
9.84,1162.791071,2051.993790,287.510031
9.85,1166.822934,2062.013541,288.976959
9.87,1178.705355,2123.411575,295.087741
9.88,1193.545618,2104.662220,299.140061
9.89,1212.329846,2115.210823,303.008156
9.9,1221.148121,2322.170023,305.289462
9.92,1226.463730,2377.536437,306.978600
9.93,1227.823496,2361.011303,306.414435
9.94,1221.994526,2334.559887,304.390057
9.95,1202.138176,2475.340038,300.265552
9.97,1187.886569,2383.727803,292.910381
9.98,1182.310380,2293.776370,290.204413
9.99,1181.285298,2254.967976,290.747662
10,1173.037126,2231.813647,289.324921
10.02,1175.331072,2222.833332,292.945079
10.03,1178.605930,2291.794605,294.266535
10.04,1187.365282,2293.814044,296.739210
10.05,1194.574562,2206.183508,299.273769
10.07,1189.888541,2166.156939,298.908525
10.08,1194.241673,2365.416698,297.598915
10.1,993.663258,3508.979645,292.653008
10.13,734.216690,2056.673338,134.188936
10.14,679.072528,1402.020893,131.398217
10.15,815.519597,868.678130,131.337827
10.4,540.308632,1234.994386,146.841888
10.45,905.794960,1192.184957,147.416767
12.14,858.566636,1759.709035,196.231960
12.15,694.491802,1883.194393,200.291677
12.17,881.285687,2077.264427,186.413076
12.18,1134.891682,1279.721038,191.100451
12.19,1099.472944,1511.258247,200.595402
12.22,796.267584,1554.076856,177.718589
12.23,1107.461219,1645.895082,177.285520
12.6,738.117179,2073.330352,98.054791
12.62,694.093400,2072.601425,98.453238
12.63,735.461564,1686.515743,97.868467
12.73,521.906065,1603.631961,98.520661
12.74,383.949450,1453.110338,97.418813
12.75,523.335412,1540.710066,98.247096
12.79,557.229709,1652.369415,98.159494
13.12,1004.468306,3036.092088,268.413746
13.13,833.350717,2682.491038,277.741484
13.14,625.432496,2664.603845,282.288342
13.2,326.392807,2581.224952,292.238068
13.22,497.583146,2699.045891,291.604055
13.23,692.807301,2809.403971,291.101060
13.24,1059.075398,3332.181425,290.431152
13.25,1087.557621,3593.521996,291.040475
13.3,883.132085,3363.495145,289.425213
13.32,836.511780,3002.997884,290.747288
13.33,791.187803,2881.077388,291.540596
13.34,742.260110,2718.064520,291.505335
13.35,710.785492,2758.332177,291.590753
13.37,720.954588,2922.186049,292.367304
13.83,986.331399,1473.642176,97.940067
13.9,1002.711756,1605.419423,97.690511
13.92,732.960650,1832.483449,98.086333
14,627.213004,1719.711142,97.474336
14.02,640.012747,1690.983835,98.194509
14.03,604.737114,1756.650675,97.914957
14.04,670.943072,1691.477159,97.619675
14.05,604.709399,1706.609146,98.183519
14.07,585.666515,1741.057141,97.544639
14.08,456.381971,1565.369270,97.471650
14.09,613.245987,1611.194193,97.892970
14.1,615.522347,1629.735396,98.005506
14.12,629.116538,1570.862698,97.708793
14.13,614.501915,1624.443375,98.204602
14.14,596.740106,1663.463609,97.325180
14.15,578.991215,1659.591455,97.931741
14.17,501.097624,1582.021139,97.987175
14.18,358.586689,1517.691117,98.386513
14.22,570.393490,2910.589180,164.996920
14.23,584.152339,2893.050132,164.739115
14.24,571.749352,2964.124624,166.974304
14.25,639.366943,3030.102744,168.290839
14.27,710.330834,3007.664301,220.413949
14.28,690.833632,2768.711763,249.235277
14.29,748.087268,2990.815548,275.193554
14.3,951.433152,2986.398997,290.031126
14.32,1023.062227,2649.694860,279.916193
14.33,258.638328,2502.216281,264.761401
14.37,229.038579,1724.140182,255.028632
14.38,220.419514,1594.248149,245.702577
14.39,52.795903,1536.688667,245.229913
14.4,123.212351,1544.724237,238.162707
14.57,1156.640885,2553.646546,297.018320
14.58,1141.473380,3066.612373,298.183752
14.59,1147.962438,3333.114922,297.914039
14.6,1183.658651,3248.416749,296.760944
14.62,1180.238527,2751.158113,293.360273
14.63,1172.759711,2614.201423,292.666289
14.64,1174.500293,2631.968102,292.389831
14.65,1172.094943,2741.329185,292.149708
14.67,1165.489786,2802.685424,291.290959
14.68,1154.329904,2739.976849,290.858471
14.69,1111.400971,2558.881150,291.830246
14.7,1077.728349,2469.358451,290.828973
14.72,1070.422345,2484.841987,290.196099
14.73,1050.028409,2500.423884,290.436531
14.74,1031.068277,2538.158339,290.426542
14.75,1014.836504,2557.879280,290.799968
14.77,1011.997929,2578.176576,291.329887
14.78,993.903440,2688.862884,291.453404
14.79,971.303570,2821.526187,292.010737
14.8,944.920026,2777.660354,293.481194
14.82,877.528044,2680.909346,294.474268
14.83,774.589070,2530.261839,293.617178
14.84,660.898489,2357.430049,289.573277
14.85,540.387318,2239.694654,281.973643
14.9,472.175310,1098.651595,227.237964
14.92,755.258202,1994.503028,260.937654
14.93,823.149619,2220.589805,278.771186
14.95,1020.247332,1769.848065,287.353356
14.97,933.387074,2102.031441,290.589715
14.98,965.505206,2109.774709,291.282767
14.99,1027.318316,1955.193731,291.413235
15,1026.852603,2076.250204,290.321584
15.02,1012.342294,2137.257949,289.423764
15.03,1013.269098,2126.447507,289.944347
15.04,1021.660577,2117.985881,290.593104
15.05,1031.637525,2192.341135,290.990887
15.07,1043.495490,2191.500849,291.340780
15.08,1048.420955,2249.642614,291.085476
15.09,1055.454812,2218.252030,291.047598
15.1,1055.489098,2242.118058,290.868128
15.12,1060.134487,2300.372868,290.611917
15.13,1072.052041,2249.902120,290.999436
15.14,1079.564178,2198.364173,291.526275
15.15,1084.248328,2182.421160,291.833761
15.17,1079.136284,2263.920605,292.029734
15.18,1059.984244,2341.762862,290.631345
15.19,1031.155854,2399.171795,288.275000
15.2,1034.640339,1924.116429,288.732447
15.39,926.554854,3717.448995,293.754883
15.4,939.160985,3253.427062,294.443588
