time,f1,f2,pitch
1.92,574.405258,2791.546321,254.319711
1.93,580.551532,2796.676089,248.343567
1.94,631.204138,2891.363390,265.195815
1.95,719.321310,2949.756238,287.472520
1.97,870.515172,2953.522042,291.428582
2,1138.797749,3128.795350,311.483167
2.02,1306.934024,3189.661818,325.083845
2.03,1361.823234,2881.544536,334.205701
2.04,1221.883257,2874.600883,342.664575
2.05,1236.608514,3072.132404,354.711877
2.07,1351.669768,3013.797908,375.803395
2.08,1369.235640,3087.580412,387.727949
2.09,1399.964885,2950.233436,398.693217
2.1,1477.929421,2910.698423,407.200765
2.12,1507.546898,2699.102560,424.825702
2.13,1463.678137,2697.822683,429.707052
2.14,1428.198823,2650.456796,435.330037
2.15,1406.000244,2551.970294,438.438560
2.17,1351.465817,2632.828874,440.012829
2.18,1294.072049,2826.947248,438.192351
2.19,1213.565978,2990.507416,436.336865
2.2,1089.488963,3022.539854,434.509375
2.22,1080.350458,2971.320568,437.544666
2.23,1171.387905,2967.713557,440.008814
2.24,1192.610764,2974.796442,442.909437
2.25,1201.668914,2901.519615,445.681449
2.27,1235.482398,2874.920126,447.492141
2.28,1298.910205,2901.857904,447.187832
2.29,1339.976907,2586.756146,446.689226
2.3,1239.419183,2189.084105,444.662038
2.32,1112.501017,2587.855487,442.796560
2.33,1176.567832,2579.238140,442.670593
2.34,1202.173822,2508.161403,443.094757
2.35,1175.506339,2570.085838,442.849081
2.37,1067.972123,2643.397084,441.819943
2.38,1042.041589,2643.837978,441.171408
2.39,1079.057198,2564.499196,441.436835
2.4,1005.511301,2554.262203,441.863596
2.42,939.432678,2618.843566,441.243965
2.43,928.530922,2594.222200,440.629459
2.44,1081.306935,2463.981206,440.971105
2.45,519.230877,1811.971193,447.351301
2.48,1781.371069,2010.352473,448.426545
2.49,1731.943109,2370.029629,447.309149
2.5,1685.242248,2467.534431,445.643885
2.52,1672.318133,2472.877520,441.219360
2.53,1625.811854,2599.729046,439.871868
2.54,1548.478362,2718.156144,439.495591
2.55,1519.478468,2790.499308,440.302042
2.57,1487.831843,2813.768698,442.059470
2.58,1495.708916,2815.910109,441.855288
2.59,1439.500598,2890.571209,440.720893
2.6,1406.452143,2915.255694,439.224106
2.62,1280.470015,2919.392789,433.463834
2.63,1084.282684,2939.895151,431.228778
2.64,1130.888544,2901.933418,427.913171
2.65,1307.341055,2719.670672,420.348065
2.67,1425.330015,2509.443145,439.502718
2.68,1546.091984,1732.820061,440.278299
2.69,1272.449738,1731.028658,442.144664
2.72,861.511007,3143.611831,312.245569
2.73,818.856977,3216.769637,316.242041
2.82,853.325651,3548.472041,337.200235
2.83,807.598855,3209.130386,333.622921
2.84,753.374091,3399.537236,329.489273
2.85,734.869717,3945.704345,326.723860
2.87,690.936632,3712.365616,325.378660
2.88,696.563706,3665.652490,325.799277
2.89,686.262255,3652.197597,325.966584
2.9,680.845280,3669.552704,325.997496
2.92,770.379820,3797.648221,326.694774
2.93,887.464169,3894.425584,326.857061
2.94,926.234956,3906.921595,326.552662
3.1,1223.460072,4271.476720,326.680095
3.12,1151.374992,3343.430370,309.008941
3.17,504.144541,3542.648058,264.498792
3.18,660.864066,3176.537942,265.664694
3.19,625.245853,2938.543342,267.797695
3.2,585.153971,2777.562986,270.626305
3.22,701.111230,2768.843421,275.323560
3.23,762.172157,2914.268241,277.187212
3.24,795.082133,3023.377771,278.159724
3.25,792.226158,3008.790223,278.265704
3.27,770.013093,2930.947982,276.741167
3.28,750.083481,2871.824916,274.064689
3.29,796.318374,2870.308985,271.330183
3.3,756.649715,2859.900169,269.393936
3.32,713.947302,2705.104875,264.339500
3.33,859.197226,2598.656493,260.605888
3.34,964.982233,2767.293224,264.567495
3.35,965.769401,2596.337296,275.455022
3.37,1097.570667,2422.218216,280.677736
3.38,1270.737219,2488.954806,279.631678
3.39,1287.029087,2595.549920,278.654170
3.4,1300.911822,2538.813596,278.496965
3.42,1123.450728,2687.827444,282.746517
3.43,945.778972,2862.875615,279.698598
3.44,595.835380,2802.223083,275.189590
3.45,364.572550,2661.953581,271.280049
3.47,332.093300,2673.716930,276.089873
3.48,948.900838,2705.428921,275.780507
3.63,848.248014,2939.507601,391.630540
3.64,889.614225,2887.342734,396.394360
3.65,953.488749,3040.091333,408.732546
3.67,907.107073,3060.219128,405.296249
3.68,785.036409,3101.287970,375.920519
3.69,587.624287,2195.301653,335.485662
3.7,532.891102,1977.457535,328.744161
3.72,625.909182,2036.563915,330.070411
3.73,472.782309,2013.989926,326.401340
3.74,628.875656,2363.616957,324.862825
3.75,620.380680,2168.728787,316.614954
3.77,662.457437,2300.740091,312.393456
3.78,640.784872,2657.717656,317.110328
3.79,646.627704,2699.090371,315.431095
3.87,968.520680,3092.182693,418.757563
3.88,929.798616,2954.097506,420.784649
3.89,980.417559,2967.402896,422.498292
3.9,1035.502736,2964.099123,420.915753
3.92,1035.873490,2965.232968,412.526684
3.93,996.616330,2979.787624,409.145888
3.94,947.979468,2911.725630,406.447942
3.95,890.404333,2999.207970,407.741140
3.97,868.540857,3116.884792,416.919358
3.98,868.739052,3189.819652,422.018304
3.99,888.855195,3175.592064,427.354239
4,938.664927,3120.412731,430.649618
4.02,975.342380,3062.176712,432.548663
4.03,993.501725,2999.337050,431.297196
4.04,975.378848,2963.881155,427.912477
4.05,929.080623,2876.768191,423.359812
4.07,885.826116,2856.142021,414.080709
4.08,867.638510,2859.934414,413.457059
4.09,868.270397,2867.460652,413.626055
4.1,885.997610,2835.733226,414.121515
4.12,916.894183,2769.425510,416.474858
4.13,940.608063,2694.571933,418.358617
4.14,962.636758,2675.123961,420.753799
4.15,1031.418480,2675.910588,422.245731
4.17,1080.961652,2713.331600,423.962272
4.18,1059.542952,2749.096812,424.352647
4.19,1086.697740,2696.657733,423.642506
4.2,1105.653146,2634.321295,421.575286
4.22,1060.414285,2634.783381,415.335591
4.23,984.032893,2662.719135,412.741557
4.24,932.893668,2686.462768,411.134169
4.25,904.940713,2736.594517,410.482467
4.27,870.439506,2822.831100,410.595376
4.28,849.499161,2919.581114,411.755885
4.29,847.436782,2987.255496,412.167614
4.3,859.872976,3026.769402,410.395193
4.32,870.431665,3144.633878,402.443419
4.33,879.325790,3151.116631,393.575107
4.34,867.530558,3143.619108,382.366919
4.35,862.428556,3143.269056,376.647851
4.37,879.915482,3087.687296,375.612411
4.38,916.193713,3036.619413,376.429916
4.39,930.845926,3013.850071,376.327113
4.4,900.415304,2909.260867,376.256145
4.42,852.251610,2467.422642,381.822168
4.43,741.114435,2279.900841,404.430923
4.44,861.761991,2738.031696,416.861918
4.45,939.533005,3117.507594,421.219979
4.47,931.287736,3121.133911,421.669029
4.48,924.335403,3072.429314,424.200448
4.49,919.737869,3245.524379,423.830619
4.72,1025.579505,3312.158951,407.630151
4.75,1165.348433,3026.405418,418.916651
4.77,1082.155248,2887.928939,413.568272
4.78,999.464994,2825.375561,409.564793
4.79,932.557439,2976.256137,404.608631
4.8,844.060402,3014.781872,399.207454
4.82,842.923900,2953.206425,404.832742
4.83,888.891957,2713.769211,406.128813
4.84,871.292368,2182.666441,411.600844
4.85,845.482858,2470.618141,416.101862
4.87,835.464052,2695.377531,414.790175
4.88,822.444191,2420.917974,407.673540
4.89,838.285406,2385.157165,414.315494
4.9,865.567716,2429.722632,420.089301
4.92,843.129443,2532.260116,413.850286
4.93,847.149987,2660.722475,417.278604
4.94,843.819231,2540.214106,420.568040
4.95,821.997004,2302.274877,420.250610
4.97,829.619090,2224.983632,421.912448
4.98,829.359905,2501.460546,413.562297
5,812.406393,2616.102063,408.983228
5.02,822.026084,2661.514346,412.082816
5.03,833.181013,2543.391560,416.246174
5.04,838.420275,2430.356118,418.944964
5.05,829.763652,2277.368774,413.619564
5.07,856.336575,2321.911157,412.590427
5.08,853.919331,2290.746998,416.553944
5.09,848.897028,2215.953334,413.897292
5.1,858.117810,2371.315785,418.884886
5.12,853.268248,2424.715353,420.875882
5.13,836.631557,2460.005532,412.004167
5.14,835.968793,2183.650601,414.174610
5.15,834.461515,2251.905383,410.596849
5.17,838.346236,2280.188020,419.734714
5.32,840.753885,2143.571642,420.413004
5.33,840.287640,2136.866551,420.898023
5.34,843.997054,2007.283996,418.972406
5.38,864.767604,2134.106630,418.750360
5.39,845.736694,2190.650585,417.929104
5.4,839.423663,2171.301755,417.422096
5.43,844.473272,2187.539137,414.355290
5.44,831.031694,2165.076212,414.702264
5.45,822.331294,2394.460783,405.440760
6.14,685.293413,3883.067631,314.148729
6.15,698.957009,3815.137991,317.886061
6.17,728.530049,3780.112499,328.378489
6.18,789.193087,3654.108345,335.329947
6.19,886.335928,3526.235721,343.078493
6.2,1028.976794,3392.922546,349.407836
6.22,1143.080255,3199.065130,374.925320
6.23,1150.409836,3189.787803,385.257932
6.24,1122.569067,3244.144867,393.204935
6.25,1080.259486,3340.644966,401.488786
6.27,1040.398831,3450.577694,409.065246
6.28,963.557049,3426.612702,410.884334
6.29,886.102653,3409.026327,410.131012
6.3,901.561089,3307.029247,408.658726
6.37,690.509632,3779.875114,408.548601
6.4,675.915290,3102.569577,411.119160
6.47,885.244537,3253.638198,409.880589
6.48,904.993137,3237.852318,409.532312
6.49,1051.193446,3294.555870,409.359839
6.53,1488.475779,3037.493979,401.963775
6.54,1393.469875,2998.760701,394.761888
6.55,1317.766858,2922.658830,387.265723
6.57,1332.462075,2812.722776,379.910213
