time,f1,f2,pitch
3.55,629.691320,1879.054676,145.038785
3.57,635.597926,1727.635033,146.300916
3.58,639.543140,1303.216882,145.814200
3.59,615.928070,1210.209228,146.717248
3.6,597.539368,1184.112978,145.845425
3.62,593.649223,1195.437310,145.180472
3.63,588.339605,1267.580100,289.818491
3.64,584.864277,1316.794783,290.469187
3.69,582.283425,2890.769292,290.378993
3.77,583.649164,1284.115332,290.866086
3.78,584.341221,1424.542813,291.599466
3.79,583.558902,1364.269139,290.700898
4.15,582.547768,1211.649695,291.081364
4.18,581.362639,1032.851922,290.120557
4.52,581.444580,1529.696294,290.535582
4.53,581.325546,1586.031535,290.787801
4.54,581.241074,1604.194212,290.683023
4.55,581.568264,1568.874416,290.861172
4.67,581.618717,1802.650414,290.372491
4.68,581.486323,1797.727568,290.380073
4.78,581.448515,2706.422033,290.762335
4.79,581.840110,2717.779302,290.802441
4.8,581.843105,2626.038166,290.700787
4.82,581.815408,2542.242665,290.760688
4.83,581.568909,2593.354617,290.517905
4.84,581.709734,3140.113679,290.493127
4.85,581.749050,2994.835428,290.820867
4.87,581.693345,2722.970779,290.700085
4.98,582.025661,2684.738383,290.872770
4.99,581.758621,2983.539966,290.811294
5,581.796899,2847.425493,290.661442
5.02,581.861466,2697.446816,290.772642
5.03,581.791463,2887.561435,290.836283
5.04,581.452497,2842.236885,290.442701
5.05,581.711901,2788.688269,290.425284
5.07,582.353076,2914.523751,290.622158
5.09,582.627341,2940.072456,290.597490
5.1,582.482267,2914.720074,290.433062
5.27,584.827873,2869.407934,290.544427
5.28,584.890703,2695.488349,290.833928
5.29,584.418240,2833.971932,290.824328
5.3,584.304717,2920.308685,291.244487
5.32,583.707416,2821.486873,290.796830
5.33,584.853745,2754.229030,291.306691
5.34,585.832794,2741.414480,290.840597
5.35,587.666965,2642.998940,290.601313
5.37,589.189684,3102.410372,290.596448
5.39,584.848321,2922.668330,290.255447
5.4,583.559557,2684.188507,290.357731
5.42,582.861737,2674.066562,290.849935
5.43,582.826417,2757.911981,290.748726
5.44,583.334474,2793.777531,290.705017
5.45,585.348296,2756.911916,290.793493
5.47,587.552793,2792.699349,291.328705
5.48,588.432871,2730.088947,291.257300
5.49,593.812851,2513.514271,291.101687
5.5,590.360835,2501.547245,290.933461
5.52,596.286719,2463.611965,290.205376
5.53,592.552700,2566.122390,289.832062
5.54,586.361785,2829.274405,290.035274
5.55,585.177646,2915.429720,290.308959
5.57,584.909655,2908.237667,290.732948
5.58,584.482322,2854.134339,290.781419
5.59,584.862786,2755.028495,291.478575
5.6,586.648239,2831.437289,291.330218
5.62,594.068773,2799.266135,291.074469
5.63,600.511018,2745.755363,290.067291
5.64,605.457771,2815.578690,290.017759
5.65,603.911907,2810.320413,291.178048
6.17,264.288153,2084.990629,144.472451
6.18,216.470032,1942.996057,75.925737
6.32,222.730246,1871.205460,78.842825
6.72,240.592567,2361.319495,141.127145
7.1,109.132209,2923.499886,120.909195
7.53,140.047493,3062.511548,119.374994
9.45,696.460849,2220.302274,122.919853
9.9,254.120051,2527.746282,136.576755
11.28,542.792493,1906.154606,121.285063
11.29,427.019043,2013.450852,129.039953
11.3,223.004450,1983.062754,124.127023
11.54,497.179535,2766.763357,136.030929
11.57,657.812846,2641.992844,126.012967
11.58,691.015679,2620.662654,123.308701
11.59,728.860970,2613.628942,124.091780
11.6,752.544221,2689.407706,122.717809
11.62,772.769525,2613.219437,123.999295
11.63,821.291835,2652.039362,124.736662
11.75,868.377106,2675.055327,123.155254
12,820.493183,1181.438618,129.976390
12.02,803.454865,1477.210867,129.116566
12.03,790.016681,1827.446585,113.079975
12.04,792.713409,2338.641337,112.242128
12.13,766.621483,2699.767267,130.305652
12.14,769.353004,2528.138398,129.247011
12.15,777.087953,2482.625521,129.811854
12.17,779.393123,2446.810154,129.884350
12.18,780.140318,2415.959074,129.846321
12.19,783.347867,2379.585453,130.412582
12.2,781.915383,2512.397731,130.318160
12.28,774.211196,2750.815329,129.709616
12.29,775.997863,2617.695817,129.827985
12.3,777.307165,2566.746613,130.045336
12.32,779.023763,2644.967785,129.984526
12.33,779.333674,2650.763445,129.908290
13.02,658.289694,2010.883247,114.655784
13.03,690.994462,2027.628316,113.820316
13.04,384.938905,1814.094954,124.840314
13.08,289.901665,2415.445270,128.773517
13.09,417.200637,2523.300790,121.826849
13.1,473.847019,2445.667355,120.254931
13.12,525.513818,2469.834929,117.687414
13.13,529.468590,2644.841036,117.387372
13.14,563.118744,2780.498047,117.257133
13.15,650.079945,2657.054739,116.383683
13.17,611.058601,2520.086792,116.375844
13.39,624.790143,1679.307987,124.857671
13.48,198.953246,2409.405370,127.059871
13.49,447.023011,2551.735692,128.915111
13.5,441.990678,2418.813314,125.278442
13.52,621.343618,2505.113396,125.731276
13.53,690.908439,2591.581202,126.821675
13.54,669.457530,2717.247916,124.296782
13.55,685.915942,2838.309005,123.984212
13.69,711.467195,2279.016359,126.908493
14,691.941722,2686.356835,121.655230
14.03,290.879960,2622.065559,141.811361
14.04,532.593683,2633.850217,128.463614
14.05,753.370984,2609.315150,123.931669
14.07,861.055849,2601.386431,122.962600
14.12,844.367768,2569.254733,117.393709
14.13,689.820141,2411.775152,116.955855
14.14,409.399096,2488.189216,126.317042
14.19,784.839376,2585.190504,125.365578
14.2,830.763076,2538.535085,123.921354
14.22,811.627125,2554.927453,126.865752
14.23,818.261350,2535.692915,120.628002
14.24,790.544292,2631.568234,122.696119
14.25,618.254928,2599.616820,122.744395
14.27,354.937371,2336.918145,122.611186
14.32,654.522793,1614.598833,131.523062
14.33,774.958727,2471.700643,126.700972
14.34,832.181924,2454.241853,108.117449
14.35,844.162953,2201.974645,114.523758
14.37,804.060455,2283.480930,110.072217
14.47,738.508490,2758.122493,129.568520
15.15,821.029266,2495.027835,122.918835
15.17,834.842526,2564.544435,123.030611
15.18,837.713744,2563.004474,123.022963
15.19,845.705189,2490.787479,123.472323
15.92,784.475511,2662.431192,122.891884
15.93,708.755020,2633.761366,122.928717
15.94,571.997545,2605.306835,125.965350
15.95,528.023513,2587.194559,133.983861
15.97,461.711627,2567.195546,126.983307
15.98,550.510541,2587.583711,122.974939
15.99,592.785996,2577.279690,127.226385
16,418.580722,2577.656939,122.217425
16.02,758.649420,2618.166127,123.866647
16.04,851.840439,2672.993620,123.215917
16.54,720.792739,2053.565482,123.282361
16.55,686.661059,2071.997349,122.878419
16.57,650.138904,2104.902608,123.177015
16.58,503.776180,1008.523015,120.766674
16.59,580.989607,1053.938647,123.989214
16.6,372.454088,1416.649786,118.524469
16.85,767.804946,2909.099652,128.732705
17.1,520.650151,1624.259283,134.652751
17.12,620.526194,1642.260875,120.682708
17.23,723.712779,1749.000218,146.583583
17.24,784.860394,2213.745675,147.787068
17.44,730.859607,2512.070167,143.347871
17.5,700.144022,2285.488302,166.452409
18.87,1387.742682,2883.644775,143.284701
19,1242.563082,2735.295685,79.277828
19.02,1327.642633,2789.905103,119.644885
19.03,1352.344942,2813.835766,119.890591
19.12,176.285122,2408.821724,140.538881
19.13,560.362715,2319.090398,128.283453
19.14,907.605840,2374.007325,122.679194
19.15,1026.228934,2556.513833,122.567543
19.17,1072.269482,2507.737292,124.948920
19.22,866.490013,2892.711766,123.571563
